Date,Total
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,4
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,9
1/31/20,9
2/1/20,12
2/2/20,12
2/3/20,12
2/4/20,13
2/5/20,13
2/6/20,14
2/7/20,15
2/8/20,15
2/9/20,15
2/10/20,15
2/11/20,15
2/12/20,15
2/13/20,15
2/14/20,15
2/15/20,15
2/16/20,15
2/17/20,15
2/18/20,15
2/19/20,15
2/20/20,15
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,15
2/25/20,15
2/26/20,15
2/27/20,15
2/28/20,15
2/29/20,25
3/1/20,27
3/2/20,30
3/3/20,39
3/4/20,52
3/5/20,55
3/6/20,60
3/7/20,63
3/8/20,76
3/9/20,91
3/10/20,107
3/11/20,128
3/12/20,128
3/13/20,200
3/14/20,250
3/15/20,297
3/16/20,377
3/17/20,452
3/18/20,568
3/19/20,681
3/20/20,791
3/21/20,1071
3/22/20,1549
3/23/20,1682
3/24/20,2044
3/25/20,2364
3/26/20,2810
3/27/20,3143
3/28/20,3640
3/29/20,3984
3/30/20,4361
3/31/20,4559
4/1/20,4862
4/2/20,5116
4/3/20,5330
4/4/20,5550
4/5/20,5687
4/6/20,5797
4/7/20,5895
4/8/20,6010
4/9/20,6108
4/10/20,6215
4/11/20,6303
4/12/20,6315
4/13/20,6351
4/14/20,6415
4/15/20,6440
4/16/20,6462
4/17/20,6522
4/18/20,6568
4/19/20,6610
4/20/20,6623
4/21/20,6645
4/22/20,6652
4/23/20,6662
4/24/20,6677
4/25/20,6694
