Date,Total
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,2
1/31/20,2
2/1/20,2
2/2/20,2
2/3/20,2
2/4/20,2
2/5/20,2
2/6/20,2
2/7/20,2
2/8/20,2
2/9/20,2
2/10/20,2
2/11/20,2
2/12/20,2
2/13/20,8
2/14/20,8
2/15/20,8
2/16/20,8
2/17/20,10
2/18/20,10
2/19/20,10
2/20/20,10
2/21/20,11
2/22/20,11
2/23/20,11
2/24/20,11
2/25/20,11
2/26/20,11
2/27/20,11
2/28/20,11
2/29/20,11
3/1/20,11
3/2/20,11
3/3/20,11
3/4/20,11
3/5/20,21
3/6/20,21
3/7/20,21
3/8/20,21
3/9/20,21
3/10/20,21
3/11/20,21
3/12/20,21
3/13/20,23
3/14/20,23
3/15/20,23
3/16/20,23
3/17/20,23
3/18/20,23
3/19/20,26
3/20/20,26
3/21/20,26
3/22/20,88
3/23/20,88
3/24/20,115
3/25/20,119
3/26/20,172
3/27/20,194
3/28/20,244
3/29/20,244
3/30/20,257
3/31/20,358
4/1/20,422
4/2/20,520
4/3/20,649
4/4/20,701
4/5/20,757
4/6/20,1080
4/7/20,1080
4/8/20,1080
4/9/20,1472
4/10/20,1793
4/11/20,1806
4/12/20,1806
4/13/20,1806
4/14/20,2186
4/15/20,2186
4/16/20,2355
4/17/20,3808
4/18/20,4124
4/19/20,4124
4/20/20,4291
4/21/20,4695
4/22/20,4932
4/23/20,5047
4/24/20,5136
4/25/20,5376
